epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.256,0.73652,1.09633,0.99966,0.98511,0.99979,0.99442,0.89285,0.43875,0.6435,0.76285,0.00997006,0.00332335,0.00997006,0.00332335,0.00997006,0.00332335,0.00997006,0.00332335
2,352.729,0.5342,0.43337,0.88709,0.99945,1,0.995,0.92673,0.34122,0.39706,0.74752,0.0199042,0.00663472,0.0199042,0.00663472,0.0199042,0.00663472,0.0199042,0.00663472
3,517.802,0.57945,0.45819,0.90512,0.99938,0.99969,0.995,0.90689,0.40891,0.36473,0.78106,0.0297723,0.00992409,0.0297723,0.00992409,0.0297723,0.00992409,0.0297723,0.00992409
4,680.697,0.55195,0.43241,0.90361,0.99999,1,0.995,0.91969,0.35111,0.49156,0.76818,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,843.777,0.50366,0.38977,0.88637,0.99998,1,0.995,0.93736,0.33529,0.26807,0.75909,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1007.15,0.46671,0.35378,0.87472,0.98631,0.99948,0.99455,0.94805,0.30684,0.39079,0.75997,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1170.6,0.44301,0.34036,0.87019,0.99997,1,0.995,0.92452,0.35149,0.24408,0.75858,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1334.11,0.42672,0.32477,0.86504,0.99998,1,0.995,0.93827,0.3118,0.22708,0.75009,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1496.94,0.40943,0.31057,0.85799,0.99998,1,0.995,0.94947,0.29796,0.18752,0.75024,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1660.73,0.40301,0.30159,0.85917,0.99993,1,0.995,0.9416,0.31491,0.18918,0.74741,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1824.79,0.39041,0.29422,0.85517,0.99992,1,0.995,0.94169,0.31956,0.46625,0.75518,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1988.1,0.38572,0.28524,0.85257,0.99999,1,0.995,0.94288,0.32677,0.21862,0.75826,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2151.89,0.37707,0.28569,0.85391,0.99961,1,0.995,0.93273,0.33226,0.23865,0.75766,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2314.84,0.36967,0.27297,0.84962,0.99999,1,0.995,0.93262,0.33862,0.1899,0.75071,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2478.29,0.3588,0.26758,0.84475,0.99994,1,0.995,0.95054,0.31192,0.39704,0.74527,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2643.73,0.35671,0.26651,0.84509,0.9888,0.98525,0.99464,0.89605,0.45634,34.8356,0.82115,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2808.92,0.34972,0.26075,0.84321,0.99998,1,0.995,0.95269,0.29008,0.48218,0.74444,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2973.29,0.33871,0.25071,0.83803,0.99987,1,0.995,0.95176,0.30006,0.37415,0.74424,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3137.67,0.33393,0.25129,0.83985,0.99962,1,0.995,0.9814,0.23547,0.31096,0.73336,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,3301.61,0.3329,0.25298,0.83897,0.99992,1,0.995,0.99041,0.2027,0.15913,0.72939,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,3466.21,0.32077,0.24477,0.83771,0.99999,1,0.995,0.96155,0.28293,0.15919,0.74211,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,3630.04,0.31065,0.23745,0.83382,0.99999,1,0.995,0.99454,0.16427,0.1279,0.72426,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,3795.07,0.31355,0.23606,0.83525,0.9999,1,0.995,0.99106,0.18249,3.09322,0.72523,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,3959.76,0.30718,0.23508,0.83386,0.99995,1,0.995,0.99034,0.2023,1.18979,0.72945,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,4123.2,0.30346,0.23105,0.83293,0.99994,1,0.995,0.99221,0.17359,0.13236,0.72863,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
