epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.321,0.89639,1.2676,0.9839,0.99982,1,0.995,0.8502,0.52789,0.46502,0.77852,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232,0.0099696,0.0033232
2,365.8,0.68857,0.54324,0.89838,0.99976,1,0.99499,0.83275,0.6416,0.60792,0.80626,0.0198378,0.0066126,0.0198378,0.0066126,0.0198378,0.0066126,0.0198378,0.0066126
3,540.418,0.72336,0.54474,0.92604,0.9977,0.9997,0.99488,0.83853,0.57574,1.09139,0.80897,0.029574,0.009858,0.029574,0.009858,0.029574,0.009858,0.029574,0.009858
4,713.766,0.68733,0.50186,0.92316,0.99979,1,0.99499,0.90236,0.41879,0.39805,0.77712,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,887.691,0.60648,0.45044,0.89751,0.99987,0.9999,0.995,0.88338,0.4517,0.35358,0.77494,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1060.42,0.56634,0.41769,0.88174,1,0.99999,0.995,0.88544,0.44975,0.355,0.77296,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1234.55,0.53197,0.39243,0.87149,0.10983,0.25634,0.10242,0.06574,1.63041,9.23059,1.45219,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1404.94,0.51422,0.38004,0.86506,0.99999,1,0.995,0.87085,0.53771,0.38908,0.77515,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1576.68,0.49845,0.36862,0.85987,0.99997,1,0.995,0.89607,0.43779,1.11952,0.75878,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1749.17,0.47996,0.35631,0.85207,0.9998,0.99994,0.995,0.90514,0.40919,3.75269,0.76001,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
