epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,199.757,0.08601,0.07481,0.80595,0.99999,1,0.995,0.995,0.05002,0.04869,0.62762,0.00997354,0.00332451,0.00997354,0.00332451,0.00997354,0.00332451,0.00997354,0.00332451
2,390.636,0.10048,0.08857,0.80701,0.99999,1,0.995,0.995,0.05249,0.0558,0.62724,0.0199076,0.00663588,0.0199076,0.00663588,0.0199076,0.00663588,0.0199076,0.00663588
3,576.814,0.11837,0.10555,0.80993,0.99999,1,0.995,0.995,0.05708,0.06402,0.62901,0.0297757,0.00992524,0.0297757,0.00992524,0.0297757,0.00992524,0.0297757,0.00992524
4,762.764,0.13323,0.12046,0.81212,0.58297,0.99926,0.94186,0.94186,0.09856,70.1755,0.63547,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,946.97,0.13495,0.12174,0.81383,0.99996,1,0.995,0.995,0.05639,0.11328,0.62848,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1131.77,0.13283,0.11796,0.8137,0.99994,1,0.995,0.995,0.06328,0.29368,0.63201,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1318.31,0.13224,0.11905,0.81292,0.99987,1,0.995,0.995,0.06344,0.54364,0.63111,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1502.6,0.13321,0.11992,0.81425,0.99999,1,0.995,0.995,0.05677,0.07238,0.62997,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1688.79,0.13106,0.11748,0.81371,0.48274,0.69967,0.7651,0.75653,0.17657,86.0326,0.67206,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1874.43,0.13335,0.12196,0.81533,0.9765,0.96766,0.98639,0.97807,0.18773,95.9567,0.66205,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2059.55,0.13245,0.12164,0.81412,0.99999,1,0.995,0.995,0.0544,0.06886,0.6282,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2245.24,0.12964,0.11887,0.81255,0.99997,1,0.995,0.995,0.05812,0.11847,0.63031,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2431.58,0.13171,0.11837,0.81209,0.99422,1,0.995,0.995,0.07366,1.97203,0.63393,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2617.69,0.1309,0.12003,0.81403,0.76867,0.93564,0.94579,0.94441,0.1436,24.2979,0.64843,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2802.67,0.13245,0.11893,0.81663,0.99998,1,0.995,0.995,inf,0.10315,0.63134,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2987.18,0.12981,0.11698,0.81356,0.99999,1,0.995,0.995,0.05471,0.05617,0.6316,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3172.82,0.12766,0.11685,0.81573,0.99999,1,0.995,0.995,0.05344,0.0655,0.63062,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3358.92,0.12904,0.11581,0.81233,0.99518,1,0.99489,0.99488,0.1273,1.98595,0.6449,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3543.69,0.12874,0.1176,0.81443,0.99915,0.99968,0.995,0.995,0.04911,0.2954,0.6303,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,3728.96,0.12609,0.11531,0.81138,0.99999,1,0.995,0.995,0.11844,0.0817,0.64608,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,3913.98,0.12691,0.11278,0.81269,0.99993,1,0.995,0.995,0.06926,0.06765,0.63361,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4098.67,0.12654,0.11418,0.81408,0.99999,1,0.995,0.995,0.06625,0.06366,0.63319,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4285.58,0.12456,0.11321,0.81335,0.39672,0.73317,0.5846,0.5667,0.17957,235.945,0.69386,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4471.04,0.12777,0.11515,0.81102,0.99999,1,0.995,0.995,0.04534,0.05479,0.63052,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,4656.68,0.12804,0.11695,0.81234,0.99999,1,0.995,0.995,0.06264,0.06759,0.63244,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,4842.06,0.12666,0.11627,0.81315,0.99994,1,0.995,0.995,0.06291,0.13395,0.63008,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5028.14,0.12729,0.11734,0.81389,0.99999,1,0.995,0.995,0.0528,0.06061,0.62887,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5213.18,0.12363,0.11259,0.81113,0.99999,1,0.995,0.995,inf,0.06099,0.63046,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,5398.9,0.12584,0.11468,0.81408,0.99999,1,0.995,0.995,0.09345,0.08018,0.63555,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,5583.79,0.12563,0.11487,0.81451,0.99999,1,0.995,0.995,0.05277,0.07633,0.62813,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,5769.46,0.12627,0.11373,0.81381,0.99999,1,0.995,0.995,0.0553,0.05878,0.62873,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,5954.58,0.12388,0.11224,0.81271,0.99998,1,0.995,0.995,0.04948,0.07009,0.62856,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6139.81,0.12519,0.11699,0.81288,0.99999,1,0.995,0.995,0.04725,0.06399,0.62879,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6324.92,0.12251,0.11473,0.81386,0.99999,1,0.995,0.995,0.04951,0.06434,0.62682,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,6510.91,0.12104,0.1126,0.81115,0.99989,1,0.995,0.995,0.06263,0.10457,0.63019,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,6695.73,0.12399,0.11468,0.81274,0.99999,1,0.995,0.995,0.05856,0.06387,0.63175,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,6882.12,0.12381,0.11431,0.81115,0.99967,1,0.995,0.995,0.06137,0.32555,0.63109,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7067.46,0.1214,0.1105,0.81024,0.99999,1,0.995,0.995,0.0507,0.05857,0.62887,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,7253.34,0.11945,0.10795,0.81106,0.99999,1,0.995,0.995,0.06197,0.06228,0.63189,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,7438.6,0.12204,0.1089,0.81303,0.99999,1,0.995,0.995,0.04849,0.05271,0.62704,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,7623.32,0.12049,0.11138,0.81183,0.99997,1,0.995,0.995,inf,0.07275,0.62929,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,7808.32,0.12207,0.11192,0.81129,0.99999,1,0.995,0.995,0.04634,0.05228,0.62837,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,7993.77,0.12038,0.10903,0.81257,0.99999,1,0.995,0.995,0.04464,0.05976,0.62966,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,8179.84,0.12124,0.11108,0.81184,0.99856,1,0.995,0.995,0.07599,0.9731,0.63502,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,8366.07,0.12192,0.1087,0.81128,0.99999,1,0.995,0.995,0.04618,0.04919,0.63004,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,8551.47,0.1195,0.10672,0.80984,0.99999,1,0.995,0.995,0.05763,0.06334,0.63136,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,8736.61,0.12065,0.10777,0.81182,0.99999,1,0.995,0.995,0.04617,0.05536,0.62887,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,8924.33,0.11949,0.10827,0.80959,0.99999,1,0.995,0.995,inf,0.05297,0.62942,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,9111.08,0.12253,0.11109,0.81227,0.99999,1,0.995,0.995,0.04471,0.05228,0.6279,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,9298.24,0.11968,0.1079,0.80788,0.99999,1,0.995,0.995,0.04234,0.04719,0.62595,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,9485.48,0.11841,0.1073,0.81366,0.99999,1,0.995,0.995,0.05552,0.05869,0.62962,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,9673.22,0.1184,0.10746,0.81185,0.99947,1,0.995,0.995,0.04977,0.3113,0.63064,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,9860.64,0.11685,0.1054,0.80901,0.99999,1,0.995,0.995,inf,0.0529,0.6291,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,10048.2,0.11762,0.10676,0.81239,0.99999,1,0.995,0.995,0.04053,0.07816,0.62856,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,10236,0.11698,0.10643,0.80867,0.99999,1,0.995,0.995,inf,0.04776,0.62808,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,10423.5,0.11815,0.10658,0.80987,0.99999,1,0.995,0.995,inf,0.04408,0.62857,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,10610.3,0.11539,0.10548,0.8089,0.99999,1,0.995,0.995,0.0424,0.04622,0.63082,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,10797.5,0.11546,0.10472,0.80697,0.99999,1,0.995,0.995,inf,0.04782,0.62627,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,10985.3,0.11688,0.10557,0.80945,0.99999,1,0.995,0.995,inf,0.04499,0.62773,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,11173.7,0.11786,0.10753,0.81037,0.99999,1,0.995,0.995,inf,0.04605,0.62839,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,11360.7,0.11398,0.10462,0.8089,0.99999,1,0.995,0.995,inf,0.0443,0.62745,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,11548.1,0.11721,0.10614,0.80906,0.97309,1,0.99472,0.99469,0.15038,0.82693,0.65221,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,11734.8,0.11455,0.10283,0.80891,0.99999,1,0.995,0.995,inf,0.04345,0.62826,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,11922.4,0.11409,0.10232,0.81114,0.99999,1,0.995,0.995,0.03957,0.04906,0.62776,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,12109.7,0.11441,0.10263,0.80891,0.99999,1,0.995,0.995,inf,0.04428,0.62585,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,12297.1,0.11634,0.10335,0.81124,0.99999,1,0.995,0.995,0.04044,0.04423,0.62627,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,12484.9,0.11667,0.10542,0.81035,0.99999,1,0.995,0.995,inf,0.04683,0.63003,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,12672.2,0.11575,0.10523,0.80847,0.99999,1,0.995,0.995,inf,0.04674,0.62872,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,12860.7,0.1149,0.10321,0.80807,0.99999,1,0.995,0.995,0.03993,0.04199,0.62856,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,13047.5,0.11457,0.10267,0.81064,0.99999,1,0.995,0.995,0.04303,0.04651,0.62856,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,13235.4,0.11618,0.106,0.8118,0.99999,1,0.995,0.995,0.04151,0.04585,0.628,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,13422,0.11567,0.10538,0.80959,0.99999,1,0.995,0.995,0.04392,0.04805,0.62724,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,13610.1,0.11593,0.10477,0.81014,0.99999,1,0.995,0.995,inf,0.04824,0.6282,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,13798.8,0.11732,0.10702,0.80808,0.99999,1,0.995,0.995,inf,0.04483,0.62812,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,13987.2,0.11277,0.10047,0.80828,0.99999,1,0.995,0.995,0.03972,0.04321,0.62816,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,14175.7,0.11201,0.10046,0.80919,0.99999,1,0.995,0.995,0.04304,0.04512,0.62799,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,14364,0.1129,0.10127,0.80794,0.99999,1,0.995,0.995,0.03959,0.04435,0.62721,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,14551.5,0.1127,0.10275,0.80889,0.99999,1,0.995,0.995,0.03942,0.04551,0.62715,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,14739.4,0.11571,0.10819,0.80902,0.99999,1,0.995,0.995,0.03986,0.0496,0.62792,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,14927.2,0.11753,0.11074,0.80812,0.99999,1,0.995,0.995,0.04098,0.04712,0.62774,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,15115.2,0.11096,0.10156,0.80878,0.99999,1,0.995,0.995,inf,0.04316,0.62794,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,15303.1,0.11216,0.10214,0.81015,0.99999,1,0.995,0.995,0.03667,0.04092,0.62635,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,15493.1,0.11405,0.1055,0.81118,0.99999,1,0.995,0.995,0.04123,0.04524,0.62873,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,15680.8,0.1128,0.10216,0.80881,0.99999,1,0.995,0.995,inf,0.0437,0.62744,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,15869.1,0.11078,0.10069,0.81013,0.99999,1,0.995,0.995,0.0393,0.04305,0.62732,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,16057.6,0.11136,0.10153,0.80912,0.99999,1,0.995,0.995,inf,0.04185,0.62604,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,16244,0.10921,0.10061,0.81097,0.99999,1,0.995,0.995,0.03881,0.04169,0.62748,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,16430.5,0.11313,0.10508,0.80932,0.99999,1,0.995,0.995,0.03736,0.04034,0.62622,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,16616.9,0.10959,0.10153,0.809,0.99999,1,0.995,0.995,0.03722,0.04088,0.62716,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,16803.4,0.10855,0.09912,0.80817,0.99999,1,0.995,0.995,0.03789,0.04121,0.62699,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,16990.8,0.11298,0.10262,0.81087,0.99999,1,0.995,0.995,inf,0.04239,0.62687,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,17178.3,0.11147,0.10006,0.80793,0.99999,1,0.995,0.995,0.04331,0.04604,0.62735,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,17366,0.11087,0.10293,0.80943,0.99999,1,0.995,0.995,inf,0.04406,0.62732,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,17553.6,0.10837,0.1003,0.80971,0.99999,1,0.995,0.995,0.0405,0.04414,0.6283,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,17742.2,0.11213,0.10494,0.80925,0.99999,1,0.995,0.995,0.04063,0.04412,0.62718,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,17930.2,0.11099,0.10455,0.80913,0.99999,1,0.995,0.995,0.03926,0.04449,0.62763,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,18117.5,0.10948,0.10219,0.80824,0.99999,1,0.995,0.995,0.03641,0.04402,0.62799,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,18305.3,0.10927,0.09931,0.80767,0.99999,1,0.995,0.995,inf,0.0417,0.62745,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,18493.4,0.10924,0.10066,0.8092,0.99999,1,0.995,0.995,inf,0.0414,0.62703,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,18681.9,0.10686,0.09837,0.80928,0.99999,1,0.995,0.995,inf,0.03986,0.62767,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,18869.5,0.10687,0.09524,0.80795,0.99999,1,0.995,0.995,inf,0.03768,0.62729,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
