epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,425.486,0.85977,1.08004,1.02835,0.99238,0.99254,0.99474,0.88037,0.39886,1.83057,0.68355,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889,0.00998667,0.00332889
2,828.198,0.6606,0.51128,0.92174,0.99321,0.99276,0.99464,0.85413,0.50889,10.8265,0.71597,0.0199207,0.00664024,0.0199207,0.00664024,0.0199207,0.00664024,0.0199207,0.00664024
3,1220.18,0.68019,0.50709,0.93494,0.97224,0.9667,0.99037,0.81216,0.58587,0.78498,0.78087,0.0297888,0.00992958,0.0297888,0.00992958,0.0297888,0.00992958,0.0297888,0.00992958
4,1610.18,0.63974,0.47395,0.92192,0.9954,0.9971,0.99459,0.89943,0.37703,1.15368,0.67431,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,2000.58,0.57959,0.42373,0.89993,0.99546,0.99788,0.99459,0.89674,0.38896,0.49521,0.67576,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2393.72,0.5477,0.39431,0.88791,0.70513,0.4773,0.56028,0.38907,1.21179,73.3233,1.08597,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2782.91,0.52295,0.37209,0.87805,0.99643,0.99807,0.99486,0.90148,0.37735,0.38056,0.66871,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,3174.82,0.51033,0.3604,0.87852,0.99674,0.99814,0.99478,0.9077,0.35185,3.76274,0.66309,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,3564.95,0.49082,0.34531,0.86704,0.99783,0.99825,0.99485,0.89473,0.39333,0.43136,0.66616,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3955.69,0.47824,0.33559,0.86409,0.99672,0.99565,0.99491,0.8704,0.49557,0.82732,0.69296,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,4344.49,0.47616,0.33047,0.86168,0.99764,0.99839,0.99486,0.89679,0.39827,0.42086,0.66522,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,4734.33,0.4669,0.32349,0.86035,0.99747,0.99902,0.99476,0.90572,0.36092,0.35692,0.6601,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,5123.92,0.46049,0.31663,0.85679,0.99778,0.99856,0.99483,0.90025,0.3826,0.32511,0.66082,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,5516.04,0.45325,0.30998,0.85719,0.99581,0.99534,0.9949,0.88256,0.48168,5.8717,0.68523,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,5905.64,0.45046,0.3058,0.85557,0.99829,0.99825,0.99486,0.90531,0.3659,0.40421,0.65888,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,6296.77,0.44279,0.30145,0.85164,0.99705,0.99721,0.99492,0.8887,0.44845,0.42919,0.67603,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,6686.7,0.43693,0.29787,0.85138,0.99783,0.99917,0.99487,0.91212,0.34886,0.33742,0.65778,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,7077.92,0.42386,0.29169,0.8494,0.99823,0.99865,0.99488,0.92557,0.31118,0.35269,0.65228,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,7469.35,0.4181,0.28927,0.84849,0.99796,0.99798,0.99474,0.94138,0.28727,0.31652,0.65055,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,7860.36,0.40922,0.28492,0.84647,0.9981,0.99928,0.99498,0.94302,0.28362,0.3045,0.6494,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,8250.31,0.40034,0.27903,0.84616,0.99834,0.99874,0.9948,0.96531,0.23598,0.29727,0.645,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,8642.82,0.38832,0.2733,0.8425,0.99867,0.99845,0.99494,0.91669,0.32646,1.77683,0.65553,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,9033.52,0.38542,0.27007,0.84167,0.99845,0.99922,0.99497,0.98141,0.19342,0.28429,0.64076,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,9424.9,0.37859,0.26745,0.8411,0.99824,0.99884,0.99498,0.98129,0.19823,0.27351,0.64165,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,9814.48,0.37487,0.26284,0.83925,0.99823,0.99953,0.99494,0.98528,0.18042,0.26075,0.64045,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,10204.5,0.3716,0.26186,0.83895,0.99809,0.99921,0.99494,0.98558,0.18394,0.26872,0.63872,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,10593.6,0.36763,0.25947,0.83815,0.99891,0.99887,0.99498,0.98835,0.16435,0.23905,0.63838,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,10984.5,0.36498,0.25843,0.83695,0.99907,0.99776,0.99499,0.95148,0.26006,1.10518,0.64806,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,11375.5,0.35631,0.25463,0.83542,0.99871,0.99872,0.99498,0.99096,0.15536,0.34087,0.63736,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,11766.5,0.34979,0.2528,0.83493,0.99814,0.99909,0.99494,0.99056,0.1615,0.26137,0.63755,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
