epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96353,2.28978,1.96582,1.58672,0.87045,0.77483,0.88619,0.59082,1.28716,0.96555,1.04016,0.00018,0.00018,0.00018
2,15.0958,1.19315,0.87022,1.04638,0.94075,0.96689,0.98779,0.79431,0.79489,0.49405,0.91732,0.000376204,0.000376204,0.000376204
3,22.1636,0.86412,0.61499,0.95915,0.98897,0.98675,0.9948,0.88975,0.50408,0.38134,0.83062,0.000568412,0.000568412,0.000568412
4,29.1486,0.73508,0.48727,0.90771,0.99601,0.99338,0.995,0.91766,0.43512,0.32557,0.81469,0.000756623,0.000756623,0.000756623
5,36.3545,0.63205,0.46226,0.89528,0.99342,0.99988,0.995,0.94822,0.34549,0.28344,0.79235,0.000940839,0.000940839,0.000940839
6,43.4077,0.54214,0.41039,0.89189,1,0.99694,0.995,0.96355,0.32199,0.24995,0.78858,0.00112106,0.00112106,0.00112106
7,50.5669,0.52995,0.41316,0.85871,0.99929,1,0.995,0.94714,0.3732,0.24596,0.79325,0.00129728,0.00129728,0.00129728
8,57.4958,0.53363,0.39867,0.84296,0.99885,1,0.995,0.95968,0.31253,0.23726,0.78429,0.00146951,0.00146951,0.00146951
9,64.4938,0.46593,0.34571,0.85291,0.99908,1,0.995,0.95392,0.3573,0.24364,0.78735,0.00163774,0.00163774,0.00163774
10,71.354,0.4798,0.36487,0.85899,0.99917,1,0.995,0.95696,0.33741,0.23338,0.78632,0.00180198,0.00180198,0.00180198
11,78.2357,0.48085,0.37781,0.85061,0.99936,1,0.995,0.95401,0.34606,0.23107,0.78556,0.0018002,0.0018002,0.0018002
12,85.116,0.49065,0.34581,0.84558,0.99952,1,0.995,0.97107,0.29579,0.21076,0.7797,0.00178022,0.00178022,0.00178022
13,92.0935,0.44788,0.32188,0.83845,0.99961,1,0.995,0.96534,0.29211,0.21265,0.78616,0.00176024,0.00176024,0.00176024
14,98.8966,0.44485,0.32122,0.83808,0.99963,1,0.995,0.95363,0.33035,0.22359,0.79061,0.00174026,0.00174026,0.00174026
15,105.651,0.44987,0.33286,0.82595,0.99961,1,0.995,0.97338,0.29216,0.20819,0.78382,0.00172028,0.00172028,0.00172028
16,112.594,0.46487,0.33554,0.84099,0.9996,1,0.995,0.97348,0.29526,0.2146,0.78475,0.0017003,0.0017003,0.0017003
17,119.63,0.39188,0.29385,0.82478,0.99959,1,0.995,0.97694,0.27357,0.20357,0.77771,0.00168032,0.00168032,0.00168032
18,126.691,0.44196,0.32815,0.83983,0.99959,1,0.995,0.97873,0.2616,0.19868,0.77381,0.00166034,0.00166034,0.00166034
19,133.689,0.46243,0.35107,0.83326,0.99959,1,0.995,0.96709,0.28741,0.21085,0.77754,0.00164036,0.00164036,0.00164036
20,140.568,0.40286,0.31045,0.82244,0.99959,1,0.995,0.9825,0.24322,0.19805,0.77238,0.00162038,0.00162038,0.00162038
21,147.59,0.4102,0.32558,0.83215,0.99959,1,0.995,0.97629,0.26446,0.20257,0.77854,0.0016004,0.0016004,0.0016004
22,154.447,0.38844,0.29859,0.83641,0.99959,1,0.995,0.98235,0.25275,0.18992,0.77543,0.00158042,0.00158042,0.00158042
23,161.288,0.36975,0.28591,0.81964,0.99958,1,0.995,0.97727,0.26947,0.19498,0.77472,0.00156044,0.00156044,0.00156044
24,168.063,0.417,0.31342,0.83641,0.99959,1,0.995,0.98356,0.25121,0.1831,0.77563,0.00154046,0.00154046,0.00154046
25,174.928,0.3711,0.26849,0.81473,0.99958,1,0.995,0.98288,0.22493,0.17776,0.76932,0.00152048,0.00152048,0.00152048
26,181.831,0.40203,0.29736,0.82754,0.99955,1,0.995,0.98347,0.21968,0.17666,0.76897,0.0015005,0.0015005,0.0015005
27,188.594,0.37112,0.29021,0.80947,0.99955,1,0.995,0.9821,0.2259,0.1765,0.77165,0.00148052,0.00148052,0.00148052
28,195.37,0.32546,0.25873,0.81727,0.99959,1,0.995,0.97979,0.2544,0.18277,0.77347,0.00146054,0.00146054,0.00146054
29,202.366,0.3386,0.25637,0.82075,0.99959,1,0.995,0.98215,0.23329,0.17396,0.7737,0.00144056,0.00144056,0.00144056
